date,actual,predicted
14.02.2024 10:00,4.33,4.80140505
14.02.2024 11:00,2.75,3.950570881
14.02.2024 12:00,1.8,2.171548007
14.02.2024 13:00,2.46,1.356613457
14.02.2024 14:00,2.21,2.105579069
14.02.2024 15:00,2.61,1.718317824
14.02.2024 16:00,1,2.159912017
14.02.2024 17:00,0.01,0.355286819
14.02.2024 18:00,0,-0.446231038
14.02.2024 19:00,0,-0.22902425
14.02.2024 20:00,0,-0.130680031
14.02.2024 21:00,0,-0.041143789
14.02.2024 22:00,0,0.040827014
14.02.2024 23:00,0,0.108536468
15.02.2024 00:00,0,0.182166346
15.02.2024 01:00,0,0.245955486
15.02.2024 02:00,0,0.303058376
15.02.2024 03:00,0,0.339650042
15.02.2024 04:00,0,0.378416904
15.02.2024 05:00,0,0.410775631
15.02.2024 06:00,0.09,0.437045257
15.02.2024 07:00,2.68,0.553790287
15.02.2024 08:00,6.66,3.323651054
15.02.2024 09:00,9.26,7.132752403
15.02.2024 10:00,9.85,9.016974663
15.02.2024 11:00,9.5,8.988560742
15.02.2024 12:00,4.39,8.137850916
15.02.2024 13:00,5.38,2.420089355
15.02.2024 14:00,5.39,4.037394025
15.02.2024 15:00,2.68,3.851156786
15.02.2024 16:00,0.91,0.895098662
15.02.2024 17:00,0.04,-0.559817801
15.02.2024 18:00,0,-1.078183882
15.02.2024 19:00,0,-0.786390018
15.02.2024 20:00,0,-0.567321439
15.02.2024 21:00,0,-0.367710114
15.02.2024 22:00,0,-0.182812924
15.02.2024 23:00,0,-0.035688314
16.02.2024 00:00,0,0.142302035
16.02.2024 01:00,0,0.289246805
16.02.2024 02:00,0,0.427340352
16.02.2024 03:00,0,0.519317917
16.02.2024 04:00,0,0.616529645
16.02.2024 05:00,0,0.699098645
16.02.2024 06:00,0.14,0.768786354
16.02.2024 07:00,2.6,0.978955899
16.02.2024 08:00,4.75,3.633941211
16.02.2024 09:00,6.42,5.53184765
16.02.2024 10:00,4.07,6.768905481
16.02.2024 11:00,7.82,3.855096807
16.02.2024 12:00,8.36,8.037716234
16.02.2024 13:00,8.04,8.003713434
16.02.2024 14:00,5.27,7.1326594
16.02.2024 15:00,1.57,3.959030339
16.02.2024 16:00,0.3,0.267499494
16.02.2024 17:00,0,-0.505032933
16.02.2024 18:00,0,-0.485435425
16.02.2024 19:00,0,-0.263776836
16.02.2024 20:00,0,-0.093909793
16.02.2024 21:00,0,0.061633995
16.02.2024 22:00,0,0.203458733
16.02.2024 23:00,0,0.292650562
17.02.2024 00:00,0,0.443806635
17.02.2024 01:00,0,0.529561155
17.02.2024 02:00,0,0.625761064
17.02.2024 03:00,0,0.704784206
17.02.2024 04:00,0,0.766853285
17.02.2024 05:00,0,0.81728151
17.02.2024 06:00,0.01,0.856954799
17.02.2024 07:00,0.64,0.896865749
17.02.2024 08:00,1.33,1.588851875
17.02.2024 09:00,2.96,2.226573327
17.02.2024 10:00,3.88,3.798418297
17.02.2024 11:00,4.47,4.459511213
17.02.2024 12:00,3.1,4.793510891
17.02.2024 13:00,1.68,3.072989033
17.02.2024 14:00,0.5,1.597094301
17.02.2024 15:00,0.78,0.482503889
17.02.2024 16:00,0.32,0.961707365
17.02.2024 17:00,0.01,0.447309694
17.02.2024 18:00,0,0.207265412
17.02.2024 19:00,0,0.28087584
17.02.2024 20:00,0,0.320461763
17.02.2024 21:00,0,0.353545242
17.02.2024 22:00,0,0.380766883
17.02.2024 23:00,0,0.375002894
18.02.2024 00:00,0,0.419117716
18.02.2024 01:00,0,0.410338021
18.02.2024 02:00,0,0.420695044
18.02.2024 03:00,0,0.441123325
18.02.2024 04:00,0,0.440518598
18.02.2024 05:00,0,0.436263231
18.02.2024 06:00,0.01,0.428901552
18.02.2024 07:00,0.35,0.429464657
18.02.2024 08:00,1.03,0.779167792
18.02.2024 09:00,2.19,1.432169415
18.02.2024 10:00,1.16,2.499519767
18.02.2024 11:00,0.37,1.152674572
18.02.2024 12:00,1.09,0.377335342
18.02.2024 13:00,0.86,1.23609912
18.02.2024 14:00,1.48,0.846121333
18.02.2024 15:00,2.19,1.504577051
18.02.2024 16:00,0.79,2.124539648
18.02.2024 17:00,0.01,0.44511202
18.02.2024 18:00,0,-0.224896454
18.02.2024 19:00,0,-0.106913099
18.02.2024 20:00,0,-0.076392861
18.02.2024 21:00,0,-0.048961638
18.02.2024 22:00,0,-0.023722931
18.02.2024 23:00,0,-0.012382016
19.02.2024 00:00,0,0.02066403
19.02.2024 01:00,0,0.035625732
19.02.2024 02:00,0,0.055707608
19.02.2024 03:00,0,0.072188181
19.02.2024 04:00,0,0.085362097
19.02.2024 05:00,0,0.096873166
19.02.2024 06:00,0.06,0.106791145
19.02.2024 07:00,1.15,0.178699819
19.02.2024 08:00,2.92,1.340851087
19.02.2024 09:00,5.03,3.045229355
19.02.2024 10:00,5.75,4.907376821
19.02.2024 11:00,2.22,5.219675515
19.02.2024 12:00,1.1,1.101591944
19.02.2024 13:00,1.93,0.366083449
19.02.2024 14:00,1.64,1.379562471
19.02.2024 15:00,0.71,0.926301728
19.02.2024 16:00,0.25,0.010023328
19.02.2024 17:00,0.01,-0.305596858
19.02.2024 18:00,0,-0.420683111
19.02.2024 19:00,0,-0.309301211
19.02.2024 20:00,0,-0.221225176
19.02.2024 21:00,0,-0.140344315
19.02.2024 22:00,0,-0.065393925
19.02.2024 23:00,0,0.008275753
20.02.2024 00:00,0,0.066223491
20.02.2024 01:00,0,0.13792045
20.02.2024 02:00,0,0.192903447
20.02.2024 03:00,0,0.202521373
20.02.2024 04:00,0,0.193127402
20.02.2024 05:00,0,0.292127585
20.02.2024 06:00,0.15,0.302197732
20.02.2024 07:00,3.07,0.499427589
20.02.2024 08:00,6.83,3.671459126
20.02.2024 09:00,9.47,7.139115492
20.02.2024 10:00,9.85,9.067772505
20.02.2024 11:00,9.85,8.831918043
20.02.2024 12:00,9.77,8.392886155
20.02.2024 13:00,7.9,7.964933993
20.02.2024 14:00,8.13,5.673971469
20.02.2024 15:00,4.62,5.998667651
20.02.2024 16:00,3.14,2.069632874
20.02.2024 17:00,0.04,0.99593896
20.02.2024 18:00,0,-1.984790213
20.02.2024 19:00,0,-1.326672981
20.02.2024 20:00,0,-1.025865332
20.02.2024 21:00,0,-0.748192802
20.02.2024 22:00,0,-0.488842575
20.02.2024 23:00,0,-0.275012801
21.02.2024 00:00,0,-0.022897293
21.02.2024 01:00,0,0.17616079
21.02.2024 02:00,0,0.378160043
21.02.2024 03:00,0,0.52069022
21.02.2024 04:00,0,0.665221663
21.02.2024 05:00,0,0.785936606
21.02.2024 06:00,0.08,0.900017438
21.02.2024 07:00,2.38,1.078098526
21.02.2024 08:00,6.69,3.603950344
21.02.2024 09:00,9.28,7.873602748
21.02.2024 10:00,9.84,9.820224995
21.02.2024 11:00,7.75,9.730578374
21.02.2024 12:00,5.85,7.064474198
21.02.2024 13:00,5.42,5.053322955
21.02.2024 14:00,3.21,4.687683993
21.02.2024 15:00,4.04,2.297584854
21.02.2024 16:00,2.89,3.514369346
21.02.2024 17:00,0.04,2.184062875
21.02.2024 18:00,0,-0.653141002
21.02.2024 19:00,0,-0.127839368
21.02.2024 20:00,0,0.070845801
21.02.2024 21:00,0,0.247820184
21.02.2024 22:00,0,0.406770869
21.02.2024 23:00,0,0.523277833
22.02.2024 00:00,0,0.673333096
22.02.2024 01:00,0,0.763230489
22.02.2024 02:00,0,0.866085139
22.02.2024 03:00,0,0.951831149
22.02.2024 04:00,0,1.014729374
22.02.2024 05:00,0,1.063837722
22.02.2024 06:00,0.06,1.100049383
22.02.2024 07:00,1.07,1.187832245
22.02.2024 08:00,3.02,2.272497553
22.02.2024 09:00,3.17,4.182557773
22.02.2024 10:00,6.04,3.929900404
22.02.2024 11:00,5.37,6.840880386
22.02.2024 12:00,1.98,5.477792218
22.02.2024 13:00,2.69,1.764972915
22.02.2024 14:00,2.24,2.84953071
22.02.2024 15:00,0.6,2.204603197
22.02.2024 16:00,0.13,0.468300269
22.02.2024 17:00,0.01,0.206230855
22.02.2024 18:00,0,0.198164949
22.02.2024 19:00,0,0.262691182
22.02.2024 20:00,0,0.317002185
22.02.2024 21:00,0,0.362711591
22.02.2024 22:00,0,0.401353586
22.02.2024 23:00,0,0.393584434
23.02.2024 00:00,0,0.458634201
23.02.2024 01:00,0,0.451170191
23.02.2024 02:00,0,0.470615839
23.02.2024 03:00,0,0.500811834
23.02.2024 04:00,0,0.504022235
23.02.2024 05:00,0,0.503113492
23.02.2024 06:00,0.16,0.498158097
23.02.2024 07:00,2.41,0.661104412
23.02.2024 08:00,5.25,3.032999383
23.02.2024 09:00,5.53,5.658042872
23.02.2024 10:00,8.12,5.24657733
23.02.2024 11:00,8.24,7.817860038
23.02.2024 12:00,3.99,7.260293366
23.02.2024 13:00,5.76,2.404441054
23.02.2024 14:00,7.75,4.726420411
23.02.2024 15:00,3.1,6.493543417
23.02.2024 16:00,1.3,1.036589684
23.02.2024 17:00,0.12,-0.259338761
23.02.2024 18:00,0,-1.152627926
23.02.2024 19:00,0,-0.93262863
23.02.2024 20:00,0,-0.721828339
23.02.2024 21:00,0,-0.537653728
23.02.2024 22:00,0,-0.365435942
23.02.2024 23:00,0,-0.227210576
24.02.2024 00:00,0,-0.057822394
24.02.2024 01:00,0,0.085964113
24.02.2024 02:00,0,0.222918511
24.02.2024 03:00,0,0.309689618
24.02.2024 04:00,0,0.407467552
24.02.2024 05:00,0,0.493303841
24.02.2024 06:00,0.25,0.567486449
24.02.2024 07:00,3.52,0.898264823
24.02.2024 08:00,7.14,4.409094036
24.02.2024 09:00,9.53,7.742038941
24.02.2024 10:00,9.85,9.448969234
24.02.2024 11:00,9.89,9.184737865
24.02.2024 12:00,9.83,8.815191222
24.02.2024 13:00,9.89,8.411943444
24.02.2024 14:00,9.56,8.19828396
24.02.2024 15:00,6.94,7.585021879
24.02.2024 16:00,2.93,4.622392512
24.02.2024 17:00,0.11,0.623637009
24.02.2024 18:00,0,-1.70253113
24.02.2024 19:00,0,-1.135256891
24.02.2024 20:00,0,-0.80817741
24.02.2024 21:00,0,-0.515773019
24.02.2024 22:00,0,-0.245260365
24.02.2024 23:00,0,-0.034446743
25.02.2024 00:00,0,0.230076722
25.02.2024 01:00,0,0.432495321
25.02.2024 02:00,0,0.632453637
25.02.2024 03:00,0,0.779140505
25.02.2024 04:00,0,0.919843978
25.02.2024 05:00,0,1.042814516
25.02.2024 06:00,0.28,1.14161733
25.02.2024 07:00,3.59,1.524637425
25.02.2024 08:00,7.26,5.090073493
25.02.2024 09:00,9.53,8.476984089
25.02.2024 10:00,9.88,10.03861529
25.02.2024 11:00,9.87,9.824864112
25.02.2024 12:00,9.84,9.38934774
25.02.2024 13:00,9.85,9.092463126
25.02.2024 14:00,9.52,8.726653847
25.02.2024 15:00,7.03,8.103104433
25.02.2024 16:00,3.38,5.2586682
25.02.2024 17:00,0.18,1.602632964
25.02.2024 18:00,0,-1.699540901
25.02.2024 19:00,0,-0.862701762
25.02.2024 20:00,0,-0.40486055
25.02.2024 21:00,0,-0.140601833
25.02.2024 22:00,0,0.101568225
25.02.2024 23:00,0,0.257258375
26.02.2024 00:00,0,0.51988344
26.02.2024 01:00,0,0.663792895
26.02.2024 02:00,0,0.837041286
26.02.2024 03:00,0,0.986571791
26.02.2024 04:00,0,1.101437309
26.02.2024 05:00,0,1.197175634
26.02.2024 06:00,0.32,1.274538126
26.02.2024 07:00,2.43,1.677343391
26.02.2024 08:00,5.7,3.92643886
26.02.2024 09:00,7.03,7.072237252
26.02.2024 10:00,5.61,7.788987636
26.02.2024 11:00,5.14,5.829698979
26.02.2024 12:00,6.17,5.294949385
26.02.2024 13:00,5.43,6.28983547
26.02.2024 14:00,5.26,5.157204522
26.02.2024 15:00,3.7,4.918702586
26.02.2024 16:00,1.22,3.142380446
26.02.2024 17:00,0.1,0.648697944
26.02.2024 18:00,0,-0.139480372
26.02.2024 19:00,0,0.041658752
26.02.2024 20:00,0,0.191916042
26.02.2024 21:00,0,0.315375643
26.02.2024 22:00,0,0.425604933
26.02.2024 23:00,0,0.473467293
27.02.2024 00:00,0,0.606926736
27.02.2024 01:00,0,0.651702365
27.02.2024 02:00,0,0.720130851
27.02.2024 03:00,0,0.786459237
27.02.2024 04:00,0,0.823953917
27.02.2024 05:00,0,0.85116515
27.02.2024 06:00,0.07,0.868850701
27.02.2024 07:00,0.99,0.952979788
27.02.2024 08:00,3.16,1.928027232
27.02.2024 09:00,7.3,4.083013481
27.02.2024 10:00,9.5,8.043558803
27.02.2024 11:00,9.88,9.55314381
27.02.2024 12:00,5.85,9.241731369
27.02.2024 13:00,8.33,4.508765753
27.02.2024 14:00,6.28,7.46273624
27.02.2024 15:00,6.09,4.681584296
27.02.2024 16:00,2.42,4.609015783
27.02.2024 17:00,0.15,0.601843332
27.02.2024 18:00,0,-1.257529751
27.02.2024 19:00,0,-0.907472228
27.02.2024 20:00,0,-0.670541723
27.02.2024 21:00,0,-0.466352898
27.02.2024 22:00,0,-0.276327565
27.02.2024 23:00,0,-0.143329279
28.02.2024 00:00,0,0.060316207
